album_id,album,release_date,number_of_songs,label_id
1,What.,1997-11-08,28,1
2,Nature politics.,2015-05-10,1,2
3,Visit.,2024-07-08,26,2
4,Behavior evening.,2022-08-15,1,3
5,Front.,2023-03-05,38,1
6,Various experience.,2015-11-29,1,4
7,Determine.,1996-03-16,23,1
8,Sense lot.,2017-08-14,1,5
9,Organization.,2002-02-28,19,6
10,List item.,2016-12-06,1,6
11,Process if.,2002-11-12,1,2
12,Police customer.,2003-08-01,1,1
13,We summer.,2008-09-05,1,1
14,Few control.,2008-06-04,1,2
15,Doctor.,2004-06-01,24,5
16,Project and.,2011-02-05,1,1
17,With small.,2009-06-30,1,2
18,Management artist.,2010-03-24,1,3
19,Major ahead.,1996-07-06,1,6
20,Exist game.,2010-06-14,1,1
21,Success investment.,1996-10-03,1,3
22,Across.,2021-12-30,19,6
23,Leave.,2014-11-15,34,1
24,Trip international.,2023-06-18,1,3
25,Again.,2016-02-08,25,3
26,Response.,1998-05-01,15,3
27,Year hard.,2012-07-12,1,4
28,Chair.,1995-03-02,24,4
29,Eight join.,2024-05-21,1,4
30,School.,2011-09-01,17,4
31,Determine.,2008-11-24,23,5
32,Third wonder.,2000-07-02,1,2
33,Film peace.,2012-11-28,1,6
34,Old.,2002-03-04,23,4
35,Process.,2021-10-22,26,4
36,Draw war.,1996-04-22,1,6
37,Next describe.,2019-06-18,1,2
38,Glass tell.,2021-06-12,1,1
39,Health parent.,2009-01-29,1,6
40,Everyone.,2008-10-19,15,3
41,Town fill.,2019-02-25,1,6
42,True green.,1998-11-13,1,5
43,Feel thousand.,2007-03-16,1,1
44,Production.,2002-08-15,23,3
45,Opportunity base.,2023-11-09,1,2
46,Vote cut.,1996-07-20,1,6
47,Four.,2006-08-14,33,3
48,Professional.,1995-08-07,23,3
49,Discussion financial.,2021-07-09,1,5
50,Similar.,2019-03-18,27,4
51,Himself.,2006-05-11,28,5
52,Cover.,2009-06-25,27,6
53,Hit.,2020-01-09,28,4
54,Visit.,2015-12-19,26,3
55,Loss ability.,1995-02-08,1,6
56,Method.,1998-03-20,23,4
57,Time occur.,1998-08-15,1,2
58,Budget check.,2015-05-29,1,4
59,Everybody.,2002-01-12,24,3
60,Travel.,2024-10-03,28,3
61,Old.,2004-06-24,23,6
62,High.,2016-07-22,24,2
63,Against discover.,2020-04-18,1,6
64,Environmental.,2021-04-06,27,3
65,And than.,2000-06-20,1,1
66,South.,2019-06-05,23,4
67,Reduce.,2011-08-14,25,5
68,Picture environmental.,1997-08-02,1,3
69,Affect.,2017-03-10,21,3
70,Public interview.,2004-12-17,1,3
71,Collection sign.,2010-07-07,1,2
72,Art big.,2019-11-29,1,1
73,Role.,2014-08-09,30,4
74,Real southern.,2017-11-06,1,6
75,Course.,2011-08-10,27,4
76,Director bar.,1999-09-10,1,6
77,Method.,2010-05-25,23,5
78,Method.,1999-05-28,23,1
79,Item stuff.,2023-03-28,1,1
80,Congress system.,2009-02-16,1,3
81,Imagine until.,2014-04-18,1,5
82,Past.,2014-09-27,15,3
83,Wind.,2022-12-03,29,2
84,Conference.,2024-05-05,22,2
85,Use.,2019-01-21,20,2
86,Process center.,2008-07-24,1,2
87,Increase.,1999-01-31,32,3
88,Item.,2013-01-12,21,5
89,Clearly.,2009-11-27,26,4
90,Wear.,2010-10-31,17,3
91,Worry.,2016-01-09,26,4
92,City enough.,2012-09-30,1,6
93,Spring.,2014-05-19,16,4
94,Beat huge.,2017-01-28,1,3
95,American every.,1997-12-18,1,4
96,Defense.,1998-03-25,26,6
97,Ability.,2006-10-01,25,4
98,Per watch.,2004-10-01,1,3
99,Child decision.,2023-08-11,1,1
100,Hair education.,2019-10-03,1,6
101,New black.,2001-12-15,1,3
102,Hot.,2014-09-01,21,3
103,Social draw.,1996-10-05,1,2
104,Question less.,2019-01-27,1,4
105,Require.,2010-05-04,28,3
106,Culture.,2019-08-25,33,2
107,Theory.,2007-07-14,21,4
108,Debate.,2011-03-01,24,2
109,Knowledge.,2015-04-03,31,4
110,People only.,1999-06-02,1,4
111,Begin.,2001-02-06,25,4
112,Space.,2017-06-18,26,4
113,Must natural.,2015-08-20,1,5
114,Series.,2020-03-03,22,5
115,Call.,1994-12-21,22,4
116,Music.,2006-03-26,28,3
117,When.,2008-11-03,27,4
118,Address perhaps.,1995-07-28,1,6
119,Run school.,2024-04-08,1,3
120,Investment near.,2009-09-21,1,3
121,War.,1995-04-14,28,6
122,Believe experience.,2020-04-13,1,3
123,Again figure.,2010-09-26,1,5
124,Mind.,2005-09-29,18,4
125,Woman.,2010-03-10,27,1
126,Law.,1995-11-25,23,6
127,Arrive my.,1997-09-13,1,5
128,Sing argue.,1999-01-07,1,3
129,Natural interesting.,2021-02-24,1,2
130,Too.,2023-11-04,26,4
131,White.,2019-02-07,28,4
132,Like.,2005-12-25,25,5
133,Choose end.,2003-01-01,1,1
134,Likely.,2019-12-12,24,3
135,Detail decision.,1995-05-27,1,4
136,Business.,1998-11-10,27,5
137,Mission enjoy.,2006-09-27,1,4
138,Medical.,2000-03-12,19,1
139,Offer medical.,2003-10-19,2,6
140,Instead tell.,2013-01-16,1,6
141,Physical road.,2019-05-09,1,1
142,Pick like.,2010-07-30,1,6
143,Two.,1996-04-11,31,2
144,Message almost.,2012-05-31,1,6
145,Activity deal.,2020-07-14,1,3
146,Find simply.,2008-07-12,1,5
147,First.,2020-10-10,24,2
148,Subject.,2011-07-08,30,2
149,I happen.,2001-12-28,1,2
150,World out.,2014-03-06,1,1
151,Measure office.,1998-07-15,1,3
152,Including.,2012-05-16,30,6
153,Ago.,2002-05-19,24,1
154,Everybody step.,2006-07-08,1,6
155,Time.,2019-05-17,25,1
156,Type including.,2014-07-03,1,4
157,Hard scene.,2015-05-29,1,3
158,Fine short.,2002-11-10,1,5
159,Book.,2023-06-01,33,6
160,Field as.,1999-08-08,1,3
161,Page letter.,2021-08-30,1,3
162,Bad debate.,2009-02-20,1,1
163,Cover no.,2018-07-29,1,1
164,Majority decide.,1996-08-23,1,1
165,Expert.,2023-04-03,27,2
166,Series he.,2004-09-22,1,1
167,Others.,2004-12-28,26,3
168,President.,2021-01-20,30,2
169,Enter foreign.,2017-01-18,1,3
170,Realize fact.,2018-01-03,1,3
171,If mouth.,2008-05-05,1,3
172,Remember authority.,2024-07-11,1,4
173,Forget.,2012-12-25,28,4
174,Produce.,2019-05-11,27,4
175,Both reduce.,2020-08-02,1,1
176,Help.,2021-04-19,31,1
177,New.,2007-12-10,29,5
178,No.,2021-10-26,24,1
179,Avoid cold.,2016-03-24,1,2
180,Anyone shoulder.,2014-10-10,1,3
181,Here fund.,1996-07-21,1,5
182,Thing guy.,2003-06-25,1,1
183,Mean.,2014-02-23,26,2
184,Tv structure.,2000-07-31,1,5
185,Offer.,2024-01-28,25,4
186,Trial available.,2003-06-03,1,3
187,Nation factor.,2006-02-22,1,1
188,Ten.,2001-04-19,31,4
189,Cultural indeed.,1997-04-22,1,1
190,Wonder school.,2003-04-06,2,6
191,Lot consumer.,1997-10-03,1,3
192,Film join.,2013-03-05,2,4
193,Trade.,1997-07-31,31,4
194,Along energy.,2019-08-31,1,3
195,Seek.,2003-06-28,24,2
196,Walk late.,2015-11-21,1,6
197,Budget popular.,2011-02-06,1,4
198,Small.,2004-12-01,26,3
199,Seek area.,2002-04-23,1,4
200,Actually month.,2012-03-17,1,3
201,Show area.,2004-01-08,1,1
202,Miss.,1999-06-15,20,6
203,Its best.,1998-12-22,2,5
204,Him road.,1995-05-09,1,1
205,Rule.,2001-03-18,21,2
206,President.,2014-07-29,30,6
207,Base everyone.,2007-03-15,1,5
208,Collection house.,2011-03-07,1,5
209,Weight.,2020-08-25,20,6
210,Page listen.,2001-03-25,1,3
211,Mrs game.,2004-01-23,1,2
212,To.,2001-06-06,27,1
213,Must.,1996-08-11,27,2
214,Newspaper professional.,2003-09-09,1,1
215,Something interest.,2004-12-23,1,3
216,Strategy.,2012-11-12,23,6
217,That cut.,2017-12-23,1,5
218,Kind.,2016-05-25,28,3
219,He.,2001-05-17,30,6
220,Sell out.,1995-05-09,1,5
221,Leg partner.,1996-08-10,1,3
222,Town him.,1999-08-14,1,5
223,Decision process.,1999-12-03,1,4
224,Attorney.,1996-05-30,28,5
225,Science land.,2013-10-23,1,3
226,Source.,2014-01-06,24,2
