collaboration_id,collaboration_name,song_id,artist_id
1,Michael Ingram,11,11
2,Christopher Ramirez,18,18
3,Joseph Weaver,21,21
4,Samantha Shepherd,24,24
5,Chad Jones,25,25
6,Angelica Hernandez,27,27
7,Jerry Wilson,31,31
8,Judy Schwartz,33,33
9,Sara Rogers,34,34
10,Kim Lewis,37,37
11,Lisa Lucas,38,38
12,Deanna Mitchell,43,43
13,Jorge Caldwell,45,45
14,Rebecca Cruz,47,47
15,Lisa Trujillo,50,50
16,Kimberly Murphy,55,55
17,Marcia Lindsey,56,56
18,Amanda Wells,60,60
19,Dana Young,61,61
20,Samantha Johnson,62,62
21,Crystal Patterson,63,63
22,Ryan Bond,67,67
23,Michelle Brooks,72,72
24,Jorge Scott,74,74
25,Steven Burns,78,78
26,Ann Michael,82,82
27,Shawna Rogers,90,90
28,Brianna Clayton,98,98
29,Vickie Stephens,100,100
30,Anthony Middleton,102,102
31,Scott Butler,103,103
32,Jacqueline Wang,105,105
33,Laura Torres,109,109
34,Michael Fox,111,111
35,Angela Aguilar,118,118
36,Samuel Fisher,119,119
37,Scott Gibson DDS,120,120
38,James Robertson,122,122
39,Michael Lewis,124,124
40,Brian Hill,129,129
41,Carrie Scott,130,130
42,John Avila,132,132
43,Christine Kelly,135,135
44,Julie Murphy,137,137
45,Joseph Gordon,138,138
46,Maria Hebert,140,140
47,Dawn Peters,152,152
48,Dr. Victoria Carr,153,153
49,Charles Bell,163,163
50,Frank Sullivan,164,164
51,Shawna Bauer,165,165
52,Dillon Thomas,167,167
53,Darren Zuniga,175,175
54,John Hall,176,176
55,David Ford,181,181
56,Carrie Jones,182,182
57,Michael Bennett,183,183
58,Scott Frye,184,184
59,Billy Padilla,185,185
60,Melissa Griffith,188,188
61,Kerry Taylor,195,195
62,Jeffrey Bernard,197,197
63,Mrs. Lisa Smith,200,200
64,Valerie Kim,204,204
65,Erica Harper,209,209
66,Tracey Smith,211,211
67,Gregg Brown,212,212
68,Kayla Jenkins,214,214
69,Steven Griffith,222,222
70,Nicholas Haynes,224,224
71,Gregory Thomas,225,225
72,Angel Zimmerman,227,227
73,Emily Roberts,231,231
74,Andrew Cook,235,235
75,Sherry Perez,236,236
76,Michelle Ortiz,238,238
77,Jim Walker,239,239
78,Mrs. Cynthia Goodwin,241,241
79,Richard Valencia,242,242
80,Charles Brown PhD,244,244
81,Kevin Miles,247,247
82,Pamela Stein,249,249
83,Michelle Richardson,250,250
84,Nichole Graham,253,253
85,Jacqueline Shepherd,263,263
86,Amanda Jones,265,226
87,Allen Barnett,273,272
88,Wendy Scott,274,273
89,Robert Jacobson,275,274
90,Julian Thomas,281,280
91,James Kelly,286,285
92,Jason Duarte,288,287
93,Paul Baker,289,288
94,Christina Price,291,290
95,Melanie Evans,293,292
96,Cynthia West,295,294
97,Nicole Thomas,300,299
98,John Carroll,303,302
99,John Kennedy,305,304
100,Tonya Dickerson,309,308
101,Daniel Stevens,314,313
102,Stephen Hicks,316,315
103,Haley Perkins,325,324
104,Tiffany Tucker,330,329
105,Kyle White,332,331
106,Joseph Sanders,335,334
107,Rachel Sandoval,337,336
108,Alex Graham,340,339
109,Deborah Vazquez,343,342
110,Stephanie Craig,346,345
111,Nathaniel Miller,349,348
112,Jody Collins,350,349
113,Christine Smith,355,354
114,Joshua Lee,369,368
115,Stacey Powell,375,374
116,Stacy Flynn,378,377
117,Teresa Jones,379,378
118,Lindsay Perry,382,381
119,Dominique Gutierrez,384,383
120,Shannon Grant,387,386
121,David Wells,389,388
122,Timothy Chandler,392,391
123,Katie Singh,396,395
124,Latoya Murray,399,398
125,Billy Roth,411,410
126,Michael Wright,415,414
127,Jacob Moss,417,416
128,Alfred Young,421,420
129,Jason Gutierrez,423,422
130,Brad Peterson,428,427
131,George Stuart,429,428
132,Wendy Sanchez,432,431
133,Jonathan Smith,435,434
134,William Baxter,437,436
135,Laura Figueroa,438,437
136,Martha Jones,442,441
137,Trevor Miller,443,442
138,David Stephens,446,445
139,Jennifer Alexander,451,450
140,Susan Kelly,455,454
141,Jacqueline Patton,457,456
142,Daniel Dalton,458,457
143,Karen Floyd,459,458
144,Mathew Snow,460,459
145,David Wagner,461,460
146,Matthew King,462,461
147,Justin Simmons,464,463
148,Joseph Bender,468,467
149,Gary Johnson,469,468
150,Mitchell Galvan,470,469
151,Ashley Martinez,471,470
152,Catherine Potter,474,473
153,Kara Black,478,477
154,Megan Barrett MD,482,481
155,Donald Lewis,483,482
156,Mrs. Stephanie Daniels MD,484,483
157,Andrew Mcguire,486,485
158,Chad Miles,489,488
159,Heidi Morris,492,491
160,Joseph Owens,501,500
161,Dr. Riley Gomez,505,504
162,Thomas Brooks,511,509
163,Andrea Fields,516,514
164,Adam Daniels,519,517
165,Kathryn Gibson,522,520
166,Karen Adams,525,523
167,Carol Mcmillan,535,533
168,Brian Garcia,540,538
169,Matthew Dawson,542,540
170,Chris Warner,543,541
171,Courtney Cunningham,545,543
172,Mrs. Destiny Barrett,551,549
173,Kathryn Johnson,555,553
174,Dylan Scott,567,565
175,David Phelps,568,566
176,Lisa Burnett,571,569
177,Stephanie Jackson,579,577
178,Anna Foster,584,582
179,Michael Walton,585,583
180,Jeffrey Rodriguez,588,586
181,Gloria Mcconnell,589,587
182,Robin Ferguson,591,589
183,Lucas Jackson,593,591
184,Eric Becker,607,605
185,Samantha Arnold,611,609
186,Caleb Henry,614,612
187,Jennifer Clark,615,613
188,Kimberly Carey DDS,618,616
189,Shannon Peterson,619,617
190,Rebecca Ortega,622,620
191,Phillip Shepard,623,621
192,Jeremy Townsend,627,625
193,Felicia Brown,634,632
194,Cathy Anderson,636,634
195,Rebecca Higgins,638,636
196,Patricia Walker,641,639
197,Walter Stafford,642,640
198,Jared Mcconnell,644,642
199,Vincent Johnson,645,643
200,Joseph Peters,649,647
201,Kathy Benson,653,651
202,Phillip Kaiser,655,653
203,Jennifer Barnett,657,655
204,Timothy Hudson,659,657
205,Michelle Jensen,660,658
206,Tiffany Cohen,664,662
207,Elizabeth Sherman,668,666
208,Katherine Johnson,669,667
209,Casey Camacho,672,670
210,Chelsea Morris,673,671
211,Zachary Solis,676,674
212,Holly Butler,681,679
213,Nathan Patterson,684,682
214,Eric Patel,686,684
215,Nathaniel Guzman,687,685
216,Adam Rice,690,688
217,Thomas Mcconnell,692,690
218,Carrie Brown,694,692
219,Leah Warren,696,694
220,Ronald Trevino,700,698
221,Thomas Liu,702,700
222,Nancy Bridges,703,701
223,Mrs. Audrey Alvarado,707,705
224,Michael Williams,711,709
225,April Carroll,714,712
226,Jason Goodwin,715,713
227,Kimberly Tucker,716,714
228,Kenneth Simmons,719,717
229,Gene Lawrence,723,721
230,Linda Norton,727,725
231,Jesus Cook,735,733
232,Adriana Mata,736,734
233,Molly Glenn,744,742
234,Angela George,746,744
235,Andre Ayala,749,747
236,Susan Tran,765,763
237,Gabrielle Smith,766,764
238,Tara Gordon,768,766
239,Michelle Smith,770,768
240,Karen Romero,778,776
241,Misty Oneal,780,778
242,Mark Valentine,782,780
243,Thomas Medina,785,783
244,Laura Brewer,793,791
245,Christie Clark,794,792
246,Ryan Brooks,795,793
247,Melinda Schroeder,796,794
248,Vanessa Lewis,798,796
249,Kimberly Travis,799,797
250,Kenneth Brown,804,802
251,Sandra Harding,810,808
252,Nicholas Sims,813,811
253,Angela Thompson,814,812
254,Lisa Rodgers,815,813
255,Michael Dunn,816,814
256,Mario Montgomery,817,815
257,Nancy Wood,823,821
258,Cristian Carter,825,823
259,Travis Bailey,827,825
260,Amanda Kennedy,829,827
261,Kayla Cooley,831,829
262,Jay Johnson,834,832
263,Henry Fletcher,838,836
264,Frances Davenport,839,837
265,Barbara Rodriguez,840,838
266,Pamela Mcintosh,844,842
267,Jenny Adams,846,844
268,Amy Good,849,847
269,Alejandra Morales,854,852
270,Stacie Boyd,855,853
271,Kenneth Ware,859,857
272,Gina Weber,866,465
273,Andrew Jones,870,866
274,Tracy Lane,879,875
275,Vincent Henderson,880,876
276,Jesus Tucker,885,881
277,James Aguirre,891,887
278,Adam Hudson,896,892
279,Jennifer Rivas,902,898
280,Nicholas Taylor,903,899
281,Sheri Patel,909,904
282,Robert Adams,916,911
283,Elizabeth Watson,917,912
284,Samuel Johnson,919,914
285,Vicki Wilson,921,916
286,David Lamb,922,917
287,Nicole Porter,923,908
288,Robert Mendoza,925,919
