producer_id,producer_name,number_of_songs
1,Jeffrey Weaver,2
2,Kenneth White,2
3,Jason Barnes,1
4,Mrs. Becky Palmer,1
5,Beverly Baker,1
6,John Brown,14
7,William Smith,10
8,Justin Gonzalez,1
9,Jeffrey Perry,1
10,Justin Grant,1
11,Michael Williams,10
12,Timothy Shelton,1
13,Susan Waters,1
14,Brandon Smith,3
15,Michelle Gordon,1
16,Brittany Smith,4
17,Daniel Robertson,1
18,Theresa Calhoun,1
19,David Brooks,2
20,Bryan Shepherd,1
21,Helen Sims,1
22,Alexandria Johnson,1
23,Francisco Brandt,1
24,Matthew Anderson,1
25,Jennifer Mcgee PhD,1
26,Valerie Mckinney DVM,1
27,Michelle Rivera,2
28,David Bradley,1
29,Sarah Doyle,1
30,Miguel Brown,1
31,Sean Harrell,1
32,David Brown,10
33,Mary Clark,4
34,William Alexander,1
35,Theresa Sullivan,1
36,Jacqueline Pena,1
37,Jason Ruiz,2
38,John Johnson,12
39,Charles Sanders,2
40,Bailey Sims,1
41,Mindy Simpson,1
42,Jennifer Santana,1
43,Paul Collins,3
44,Anne Estrada,1
45,Jessica Vega,1
46,Kelli Michael,1
47,Stacie Peterson,1
48,Melissa Powell,1
49,Natalie Walker,1
50,Logan Elliott,1
51,Edwin Mccormick,1
52,Katrina Cox,1
53,Maria Carney,1
54,April Fitzpatrick,1
55,Heather Hill,2
56,Brian Wong,1
57,Joseph Burns,1
58,Jacqueline Diaz,1
59,Tristan Moran,1
60,Bethany Fleming PhD,1
61,Sandy Rodriguez,1
62,Walter Henderson,1
63,Stefanie Jones,1
64,Daniel Clark,5
65,Christopher Rogers,5
66,Tracy Lee,1
67,Justin Jones,10
68,David Perkins,3
69,Tonya Sosa,1
70,Amanda Garcia,2
71,Jeremy Le,1
72,Anna Chapman,1
73,Brian Smith,9
74,Sarah Vance,1
75,Stephanie Williams,3
76,Jessica Pham,1
77,Heather Smith,4
78,Eric Tyler,1
79,Kristy Roach,1
80,Clifford Wall,1
81,Elizabeth Little,1
82,Alexander Kim,1
83,Lauren Jones,3
84,Abigail Sampson,1
85,Anthony Sims,2
86,Kimberly Miller,4
87,Stephen Garza,1
88,Jose Maynard,1
89,Ashley Lee,2
90,Nathan Brown,4
91,Michael Coleman,4
92,Benjamin Marks,1
93,Dawn Rogers,1
94,James Moore,6
95,Richard Ramirez,5
96,Dana Reeves,1
97,Dylan Cuevas,1
98,Sarah Cantu,1
99,Peter Mcgee,1
100,Christina Greene,1
101,Scott Hicks,1
102,Jeffery Case,1
103,Amanda Maldonado,1
104,Felicia Bray,1
105,Douglas Neal,1
106,Whitney Johnson,2
107,Jerry Brown,2
108,Elizabeth Ellis,2
109,Joseph Miller,3
110,Phillip Brady,1
111,Jamie Davis,2
112,Claudia Stevenson,1
113,Jennifer Shea,1
114,Ana Ortiz,1
115,Sara Serrano,1
116,William Phillips,2
117,Patricia Hughes,1
118,Kara Wells,1
119,Shannon Mcneil,1
120,Cynthia Anderson,4
121,Maurice Blevins,1
122,Kayla Walsh,1
123,Anthony Hodges,1
124,Daniel Callahan,1
125,Kaitlyn Matthews,1
126,Steve Levy,1
127,Jonathon Foley,1
128,Crystal Guerra,1
129,Erin Fox,1
130,Michael Rice,2
131,Peter Miller,4
132,Donna Wilson,2
133,Alexander Benson,1
134,Felicia Roman,1
135,Wendy Kelley,1
136,Denise Fox,1
137,Chelsey Smith,1
138,Regina Roth,1
139,Heather Roberts,2
140,Michael Farley,2
141,Miss Nicole Butler,1
142,Brian Velasquez,1
