song_id,song_title,duration,popularity,stream,explicit_content,artist_id,album_id,genre_id,label_id,composer_id,producer_id,language_id
1,Space executive series,282.0,42,35055874,Yes,1,1,1,1,1,1,1
2,Price last painting,127.0,50,9249527,Yes,2,2,1,2,2,2,1
4,Power industry your,214.0,86,34732016,No,4,4,3,3,4,4,1
5,Food animal second,273.0,63,96649372,Yes,5,5,2,1,5,5,1
7,Each leg,336.0,49,88337653,No,7,7,3,1,7,7,2
8,Person then enjoy,237.0,9,95988275,No,8,8,3,5,8,8,1
10,East husband,216.0,2,48726791,Yes,10,10,1,6,10,10,1
11,Mother building well,161.0,81,77988216,No,11,11,1,2,11,11,1
12,Pattern personal tree,345.0,88,32428546,Yes,12,12,5,1,12,12,1
13,Possible whatever continue special,131.0,73,73155234,No,13,13,4,1,13,13,1
15,Various director cell,237.0,29,40215039,No,15,15,3,5,15,15,1
16,Season available lot,231.0,83,82785276,Yes,16,16,6,1,16,16,1
17,Along new,230.0,58,21609743,Yes,17,17,1,2,17,17,1
18,Large stock buy oil,280.0,85,90028790,Yes,18,18,1,3,18,18,1
19,Computer professor score,129.0,57,81831229,Yes,19,19,7,6,19,19,3
20,Site difference,314.0,88,30447360,No,20,20,2,1,20,20,1
21,Country real,173.0,94,98263763,No,21,21,2,3,21,21,2
22,Friend material rather,293.0,63,27983825,No,22,22,3,6,22,22,1
23,Matter class specific,256.0,42,97729744,Yes,23,23,3,1,23,23,1
24,Not start,173.0,80,429348,Yes,24,24,1,3,24,24,1
25,Consumer,273.0,43,88413255,Yes,25,25,2,3,25,25,1
26,Successful,312.0,36,50013515,No,26,26,2,3,26,26,1
27,Boy red,186.0,38,70985364,No,27,27,6,4,27,27,1
28,Meeting summer else,271.0,90,83124231,Yes,28,28,1,4,28,28,1
29,Take gas,274.0,14,73417622,Yes,29,29,6,4,29,29,1
30,Would director good,323.0,80,95176650,Yes,30,30,5,4,30,30,1
31,Edge yes,188.0,75,75780954,No,31,31,8,5,31,31,4
32,Beautiful success along,211.0,82,90437409,No,32,32,3,2,32,32,1
33,Fact cell wall tend,288.0,72,72331654,Yes,33,33,6,6,33,33,1
36,Get,184.0,60,17692432,Yes,36,36,3,6,36,36,6
37,Cultural still building,194.0,95,61091790,No,37,37,1,2,37,37,4
38,Attack office,201.0,39,6393734,Yes,38,38,3,1,38,38,1
39,Partner generation weight,246.0,76,1329243,No,39,39,4,6,25,39,1
40,News candidate,319.0,74,90945437,No,40,40,7,3,39,40,3
41,Live candidate believe,196.0,39,9819670,No,41,41,2,6,40,41,1
42,Degree deal cultural,238.0,30,86576441,No,42,42,1,5,41,42,1
43,Accept quickly,194.0,44,29675027,Yes,43,43,1,1,42,43,1
44,Information think,110.0,77,50783069,Yes,44,44,3,3,43,44,1
45,Nice sign,223.0,43,19552905,No,45,45,3,2,44,45,1
46,Hard too state,256.0,4,63557089,No,46,46,3,6,45,46,1
47,By kid,150.0,18,26542387,Yes,47,47,2,3,46,47,1
48,Nice across,240.0,42,11528011,Yes,48,48,3,3,47,48,1
49,Group economic,252.0,38,35796020,No,49,49,3,5,48,49,6
51,Sure around,252.0,4,19221229,No,51,51,2,5,50,51,1
52,Another lose suddenly,267.0,9,60478565,No,52,52,3,6,51,52,6
53,Organization leg able quite,324.0,7,54901737,Yes,53,53,7,4,52,53,1
54,Hit fire use,382.0,40,71634376,No,54,54,6,3,53,54,1
55,Dream chance,268.0,23,21637443,No,55,55,1,6,54,55,3
56,Behavior give include,299.0,45,17378187,Yes,56,56,4,4,55,56,3
57,Drive through manage,249.0,20,75772599,Yes,57,57,3,2,56,57,1
58,Visit we high,242.0,12,3591264,No,58,58,1,4,57,58,3
60,Play firm thought whom,243.0,73,18399148,No,60,60,3,3,59,60,6
61,Brother old include,316.0,71,39996865,Yes,61,61,3,6,60,61,3
63,Produce television,159.0,58,92061269,Yes,63,63,1,6,62,63,1
66,At offer,223.0,23,13815171,No,66,66,7,4,65,66,3
67,Drop here,241.0,86,92470565,No,67,67,1,5,66,67,1
68,Never area,300.0,54,97340958,No,68,68,2,3,67,68,1
69,Church off impact,347.0,78,49556458,No,69,69,2,3,68,69,1
70,Industry good,185.0,75,66059210,No,70,70,3,3,69,70,1
72,Pass customer newspaper,196.0,31,13460853,Yes,72,72,3,1,71,72,1
73,Stage hundred,169.0,17,63733434,Yes,73,73,2,4,72,73,3
74,By actually lay,207.0,48,48948383,Yes,74,74,2,6,73,74,1
75,Finally player return,205.0,75,64534817,No,75,75,1,4,74,75,7
76,Must education,278.0,24,74446691,Yes,76,76,1,6,75,76,1
77,Against,235.0,52,95567211,No,77,77,2,5,76,77,1
78,Growth radio,263.0,69,82127709,No,78,78,2,1,77,78,3
79,System determine,242.0,28,78542431,No,79,79,3,1,78,79,1
80,Line respond,204.0,85,39434707,No,80,80,3,3,79,80,1
